University Name,Total Students,International Students,Total Staffs
Wayne State University,19001.0,988.0,2427.0
Université de Pau et des Pays de l'Adour,,,
Siberian State Medical University ,,,
Fundacion Universitaria del Area Andina- AREANDINA,30571.0,44.0,1003.0
Universidade Federal do Espírito Santo,25109.0,201.0,1849.0
Saint-Petersburg State University of Economics,21052.0,1285.0,1918.0
École Nationale Supérieure de Chimie de Rennes,,,
Whistling Woods International,,,
ESCUELA SUPERIOR DE IMAGEN Y SONIDO CES,,,
"The Princeton Review - Scoreplus, Middle East",,,
Beijing Film Academy,,,
The Hang Seng University of Hong Kong,5858.0,316.0,228.0
Tameside College,,,
"Institut d'Optique, ParisTech",,,
University of Buckingham,,,
Tishk International University,,,
Academy of Fine Arts in Warsaw,,,
Indian Institute of Management (IIM) - Kozhikode,,,
Université Claude Bernard Lyon 1,37094.0,3773.0,2225.0
Concordia College at Moorhead,,,
University of Iowa,26333.0,1323.0,2943.0
Lawrence Technological University,,,
Barnard College,,,
Edinburgh Business School,,,
"Royal Academy of Art, The Hague (KABK)",,,
University of Alaska Fairbanks,3450.0,120.0,738.0
"Tel Aviv University - International, School of Engineering",,,
Khoja Akhmet Yassawi International Kazakh-Turkish University,10149.0,1133.0,1196.0
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,1779.0,,104.0
University of Information Technology and Communications,382.0,,150.0
Bunda Mulia University,,,
Karakoram International University,,,
Universidad del CEMA,8437.0,41.0,250.0
UNIVERSITI TEKNIKAL MALAYSIA MELAKA,11330.0,671.0,724.0
Weizmann Institute of Science,,,
Ecole Centrale de Marseille,,,
English Business Services,,,
Conservatoire de Musique et d'Art Dramatique du Québec,,,
Moscow Information Technology University,,,
Bandung Institute of Technology (ITB),22255.0,543.0,2892.0
Ibn Tofail University,57082.0,1618.0,794.0
Study in Sweden,,,
Roanoke College,,,
Kansas State University ,17634.0,976.0,1209.0
