No.,University,URL
4,Trinity Business School,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin/trinity-business-school
5,The Catholic University of America,https://www.topuniversities.com/universities/catholic-university-america
6,Sathyabama Institute of Science and Technology (Deemed to be University),https://www.topuniversities.com/universities/sathyabama-institute-science-technology-deemed-be-university
7,ISCTE Business School,https://www.topuniversities.com/universities/iscte-iul/iscte-business-school
8,University of Edinburgh Business School ,https://www.topuniversities.com/universities/university-edinburgh-business-school
9,Worcester Polytechnic Institute,https://www.topuniversities.com/universities/worcester-polytechnic-institute
10,Chalmers University of Technology,https://www.topuniversities.com/universities/chalmers-university-technology
1,SBS Swiss Business School,https://www.topuniversities.com/universities/sbs-swiss-business-school
2,ESCP Business School - Paris,https://www.topuniversities.com/universities/escp-business-school-paris
3,Università Vita-Salute San Raffaele,https://www.topuniversities.com/universities/universita-vita-salute-san-raffaele
4,Al-Farabi Kazakh National University,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university
5,University of Nottingham Ningbo China,https://www.topuniversities.com/universities/university-nottingham-ningbo-china
6,Samarkand State University,https://www.topuniversities.com/universities/samarkand-state-university
7,Ferrandi Paris,https://www.topuniversities.com/universities/ferrandi-paris
8,Universidade de Vigo,https://www.topuniversities.com/universities/universidade-de-vigo
9,Holy Family University,https://www.topuniversities.com/universities/holy-family-university
10,Maastricht University,https://www.topuniversities.com/universities/maastricht-university
1,Pontificia Universidad Católica Argentina,https://www.topuniversities.com/universities/pontificia-universidad-catolica-argentina
2,Sunway University,https://www.topuniversities.com/universities/sunway-university
