No.,University,URL
8,"Royal Free and University College Medical School, University of London",https://www.topuniversities.com/universities/royal-free-university-college-medical-school-university-london
9,Universiti Brunei Darussalam (UBD),https://www.topuniversities.com/universities/universiti-brunei-darussalam-ubd
10,University of Biskra,https://www.topuniversities.com/universities/university-biskra
1,The Herzen State Pedagogical University of Russia,https://www.topuniversities.com/universities/herzen-state-pedagogical-university-russia
2,University for the Creative Arts,https://www.topuniversities.com/universities/university-creative-arts
3,Otaru University of Commerce,https://www.topuniversities.com/universities/otaru-university-commerce
4,"Indian Veterinary Research Institute, Izatnagar",https://www.topuniversities.com/universities/indian-veterinary-research-institute-izatnagar
5,Universidad de las Ciencias Informáticas,https://www.topuniversities.com/universities/universidad-de-las-ciencias-informaticas
6,Universidade Regional do Noroeste do Estado do Rio Grande do Sul ,https://www.topuniversities.com/universities/universidade-regional-do-noroeste-do-estado-do-rio-grande-do-sul
7,University of Alaska Anchorage,https://www.topuniversities.com/universities/university-alaska-anchorage
8,University of Iowa,https://www.topuniversities.com/universities/university-iowa
9,National University of the Patagonia San Juan Bosco,https://www.topuniversities.com/universities/national-university-patagonia-san-juan-bosco
10,Corporación Universitaria Minuto de Dios - UNIMINUTO,https://www.topuniversities.com/universities/corporacion-universitaria-minuto-de-dios-uniminuto
1,Royal Agricultural University School of Business,https://www.topuniversities.com/universities/royal-agricultural-university-school-business
2,American University of Sharjah - School of Business and Manangement,https://www.topuniversities.com/universities/american-university-sharjah/american-university-sharjah-school-business-manangement
3,Pratt School of Engineering,https://www.topuniversities.com/universities/duke-university/pratt-school-engineering
4,Korea Nazarene University,https://www.topuniversities.com/universities/korea-nazarene-university
5,Economics and law,https://www.topuniversities.com/universities/economics-law
6,Kaohsiung Medical University,https://www.topuniversities.com/universities/kaohsiung-medical-university
7,Atılım Üniversitesi,https://www.topuniversities.com/universities/atilim-universitesi
8,Frederick University,https://www.topuniversities.com/universities/frederick-university
9,University of Prishtina,https://www.topuniversities.com/universities/university-prishtina
10,ESSCA School of Management,https://www.topuniversities.com/universities/essca-school-management
1,KwanDong University,https://www.topuniversities.com/universities/kwandong-university
2,School of Business and Management,https://www.topuniversities.com/universities/school-business-management
3,Universidad Autónoma de Zacatecas (UAZ),https://www.topuniversities.com/universities/universidad-autonoma-de-zacatecas-uaz
4,Karshi State University,https://www.topuniversities.com/universities/karshi-state-university
5,Indian Institute of Information Technology Design and Manufacturing Kancheepuram,https://www.topuniversities.com/universities/indian-institute-information-technology-design-manufacturing-kancheepuram
6,University of Central Oklahoma,https://www.topuniversities.com/universities/university-central-oklahoma
7,Florida Southern College,https://www.topuniversities.com/universities/florida-southern-college
8,Isra University,https://www.topuniversities.com/universities/isra-university
9,Woodbury University,https://www.topuniversities.com/universities/woodbury-university/woodbury-university
10,Saint Petersburg State University of Economics (UNECON),https://www.topuniversities.com/universities/saint-petersburg-state-university-economics-unecon
1,Technische Universität Dresden,https://www.topuniversities.com/universities/technische-universitat-dresden
2,"Balochistan University of Information Technology, Engineering and Management Sciences  (BUITEMS)",https://www.topuniversities.com/universities/balochistan-university-information-technology-engineering-management-sciences-buitems
3,San Francisco State University,https://www.topuniversities.com/universities/san-francisco-state-university
4,University of Bridgeport,https://www.topuniversities.com/universities/university-bridgeport
